date, pm25, pm10, o3, no2, so2, co
2021/12/1, 37, 20, 7, 34, 4, 5
2021/12/2, 52, 16, 16, 27, 4, 4
2021/12/3, 33, 18, 19, 31, 4, 5
2021/12/4, 40, , , , , 
2021/11/1, 63, 31, 21, 33, 4, 6
2021/11/2, 78, 35, 19, 38, 4, 6
2021/11/3, 81, 47, 13, 43, 4, 7
2021/11/4, 99, 49, 15, 45, 8, 8
2021/11/5, 99, 47, 20, 45, 8, 7
2021/11/6, 95, 30, 20, 36, 6, 6
2021/11/7, 67, 9, 15, 26, 4, 3
2021/11/8, 19, 8, 15, 24, 3, 3
2021/11/9, 21, 10, 14, 20, 3, 3
2021/11/10, 31, 16, 16, 25, 3, 4
2021/11/11, 30, 15, 15, 23, 3, 4
2021/11/12, 33, 23, 9, 38, 4, 6
2021/11/13, 51, 40, 26, 39, 4, 7
2021/11/14, 79, 46, 13, 42, 4, 7
2021/11/15, 80, 41, 15, 42, 4, 6
2021/11/16, 70, 37, 9, 43, 5, 6
2021/11/17, 71, 46, 33, 45, 5, 6
2021/11/18, 87, 63, 29, 45, 4, 8
2021/11/19, 126, 81, 20, 51, 4, 10
2021/11/20, 164, 76, 14, 46, 4, 10
2021/11/21, 163, 36, 21, 22, 3, 4
2021/11/22, 54, 22, 15, 28, 3, 4
2021/11/23, 38, 25, 6, 40, 3, 6
2021/11/24, 52, 34, 15, 39, 4, 7
2021/11/25, 60, 22, 15, 34, 4, 5
2021/11/26, 48, 29, 12, 38, 4, 7
2021/11/27, 67, 34, 8, 40, 4, 8
2021/11/28, 85, 41, 8, 49, 4, 9
2021/11/29, 95, 16, 19, 31, 3, 5
2021/11/30, 47, 15, 18, 18, 3, 3
2021/10/1, 59, 26, 35, 32, 5, 4
2021/10/2, 44, 32, 49, 24, 4, 5
2021/10/3, 69, 37, 24, 28, 6, 4
2021/10/4, 59, 32, 27, 21, 5, 3
2021/10/5, 48, 8, 8, 24, , 4
2021/10/6, 15, 14, 14, 25, , 4
2021/10/7, 30, 18, 3, 27, , 5
2021/10/8, 40, 13, 9, 25, , 5
2021/10/9, 23, 17, 24, 17, 4, 4
2021/10/10, 35, 25, 17, 21, 3, 4
2021/10/11, 35, 13, 15, 28, 3, 4
2021/10/12, 17, 16, 17, 31, 3, 4
2021/10/13, 26, 21, 27, 26, 4, 4
2021/10/14, 38, 22, 18, 30, 4, 5
2021/10/15, 50, 28, 20, 16, 4, 4
2021/10/16, 32, 18, 22, 14, , 3
2021/10/17, 21, 22, 9, 31, 5, 5
2021/10/18, 40, 22, 20, 29, 5, 5
2021/10/19, 60, 23, 14, 31, 5, 5
2021/10/20, 59, 28, 19, 36, 4, 5
2021/10/21, 67, 27, 18, 37, 4, 6
2021/10/22, 65, 31, 17, 37, 5, 6
2021/10/23, 69, 24, 30, 30, 4, 5
2021/10/24, 65, 24, 25, 36, 4, 5
2021/10/25, 58, 34, 22, 43, 5, 6
2021/10/26, 78, 35, 24, 37, 4, 6
2021/10/27, 81, 26, 12, 37, 5, 6
2021/10/28, 56, 25, 17, 40, 5, 5
2021/10/29, 46, 22, 9, 36, 6, 5
2021/10/30, 53, 22, 27, 27, 6, 5
2021/10/31, 60, 25, 19, 34, 4, 6
2021/9/1, 15, 13, 21, 31, 4, 4
2021/9/2, 29, 15, 23, 29, 4, 4
2021/9/3, 30, 10, 21, 24, 3, 4
2021/9/4, 18, 10, 21, 18, 3, 3
2021/9/5, 17, 16, 17, 26, 3, 3
2021/9/6, 34, 9, 18, 27, 3, 5
2021/9/7, 24, 11, 24, 25, 4, 4
